siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP283,297778.9,4101202.5,ARVI4,Arctostaphylos viscida,0.7
SOAP,Soaproot Saddle,SOAP143,299848,4100426,ARVI4,Arctostaphylos viscida,1.9
SOAP,Soaproot Saddle,SOAP1695,299170.1,4100964.8,ARVI4,Arctostaphylos viscida,3.8
SOAP,Soaproot Saddle,SOAP223,299296.5,4101468,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP1611,297437,4100569.5,ARVI4,Arctostaphylos viscida,3.8
SOAP,Soaproot Saddle,SOAP1515,297509.7,4101248,ARVI4,Arctostaphylos viscida,1.1
SOAP,Soaproot Saddle,SOAP1611,297450.9,4100580.8,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP1695,299182.8,4100972.2,ARVI4,Arctostaphylos viscida,3.3
SOAP,Soaproot Saddle,SOAP555,297123.6,4100914.2,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP555,297123.2,4100913.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP299,297499.5,4100691.5,ARVI4,Arctostaphylos viscida,1.1
SOAP,Soaproot Saddle,SOAP255,300145.5,4101375.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1695,299181.8,4100957.8,ARVI4,Arctostaphylos viscida,2.2
SOAP,Soaproot Saddle,SOAP143,299850.2,4100423.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP143,299849.6,4100424.8,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP143,299844.8,4100412.5,ARVI4,Arctostaphylos viscida,4.6
SOAP,Soaproot Saddle,SOAP1515,297509.7,4101261.8,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP139,297036.7,4100088.2,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1563,297692.5,4101231,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP1695,299182.1,4100974,ARVI4,Arctostaphylos viscida,4.1
SOAP,Soaproot Saddle,SOAP139,297049.9,4100100.8,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP63,299805.5,4101029.5,ARVI4,Arctostaphylos viscida,3.9
SOAP,Soaproot Saddle,SOAP991,299142.8,4101473,ARVI4,Arctostaphylos viscida,0.5
