date_awarded,first_wkshp,days
04/01/16,05/01/17,395
07/01/16,08/01/17,396
05/01/14,06/01/15,396
05/01/14,06/01/15,396
05/01/14,06/01/15,396
02/01/16,03/01/17,394
03/01/15,04/01/16,397
11/01/13,01/01/15,426
04/01/17,06/01/18,426
06/01/16,08/01/17,426
05/01/16,07/01/17,426
03/01/16,05/01/17,426
08/01/16,11/01/17,457
10/01/15,01/01/17,458
05/01/14,08/01/15,457
02/01/16,06/01/17,486
05/01/15,09/01/16,489
11/01/16,03/01/18,485
06/01/16,11/01/17,518
12/01/14,05/01/16,517
02/01/16,06/01/17,486
07/01/15,12/01/16,519
01/01/17,06/01/18,516
10/01/16,03/01/18,516
02/01/16,07/01/17,516
05/01/15,10/01/16,519
03/01/15,09/01/16,550
09/01/14,06/01/16,639
10/01/14,07/01/16,639
01/01/16,11/01/17,670
11/01/13,09/01/15,669
07/01/16,05/01/18,669
12/01/14,12/01/16,731
11/01/14,12/01/16,761
07/01/14,08/01/16,762
10/01/14,05/01/17,943
01/01/15,09/01/17,974
06/01/15,03/01/18,1004
04/01/15,03/01/18,1065
12/01/14,03/01/18,1186
