slug,tag_name,start_date,attendance,host_name,country,latitude,longitude,url
2013-11-25-unimelb,SWC,2013-11-25,36,University of Melbourne,AU,-37.7963,144.9614,https://damienirving.github.io/2013-11-25-unimelb/
2013-12-03-edinburgh,SWC,2013-12-03,34,University of Edinburgh,GB,55.921628,-3.174155,https://mikej888.github.io/2013-12-03-edinburgh/
2013-12-03-sesync,SWC,2013-12-03,42,National Socio-Environmental Synthesis Center,US,38.976734,-76.503296,https://wltrimbl.github.io/2013-12-03-sesync/
2013-12-12-glasgow,SWC,2013-12-12,43,Scottish Universities Physics Alliance,GB,55.87185,-4.29155,https://bendmorris.github.io/2013-12-12-glasgow/
2013-12-16-dundee,SWC,2013-12-16,32,University of Dundee,GB,56.464,-2.97,https://davidmam.github.io/2013-12-16-dundee/
2014-01-06-unb,SWC,2014-01-06,20,University of New Brunswick,CA,45.947214,-66.640325,https://jooolia.github.io/2014-01-06-unb/
2014-01-07-cam,SWC,2014-01-07,24,University of Cambridge,GB,52.209868,0.102439,https://sje30.github.io/2014-01-07-cam/
2014-01-08-iastate,SWC,2014-01-08,64,Iowa State University,US,42.02662,-93.64647,https://adina.github.io/2014-01-08-iastate/
2014-01-13-uri,SWC,2014-01-13,40,University of Rhode Island,US,41.492635,-71.422294,https://iglpdc.github.io/2014-01-13-uri/
2014-01-13-wisc,SWC,2014-01-13,32,University of Wisconsin - Madison,US,43.07718,-89.40399,https://uw-madison-aci.github.io/2014-01-13-wisc/
2014-01-14-manchester,SWC,2014-01-14,19,University of Manchester,GB,53.467972,-2.233154,https://apawlik.github.io/2014-01-14-manchester/
2014-01-16-ttt-online,"TTT,online",2014-01-16,67,Software Carpentry,W3,-48.876667,-123.393333,
2014-01-18-ucb,SWC,2014-01-18,21,University of California Berkeley,US,34.413963,-119.848947,https://swcarpentry.github.io/2014-01-18-ucb/
2014-01-20-montreal,SWC,2014-01-20,26,Computer Research Institute of Montreal,CA,45.530677,-73.624497,https://gvwilson.github.io/2014-01-20-montreal/
2014-01-21-erdc,SWC,2014-01-21,26,US Army Engineer Research and Development Center,US,32.301199,-90.871617,https://geocarpentry.github.io/2014-01-21-erdc/
2014-01-27-Stanford,SWC,2014-01-27,28,Stanford University,US,37.4225,-122.1653,https://arokem.github.io/2014-01-27-Stanford/
2014-01-27-miami,SWC,2014-01-27,120,University of Miami,US,25.7174346,-80.2781389,https://jennybc.github.io/2014-01-27-miami/
2014-01-30-cse,SWC,2014-01-30,28,University of Illinois at Urbana-Champaign,US,40.093692,-88.237606,https://uiuc-cse.github.io/2014-01-30-cse/
2014-01-30-mit,SWC,2014-01-30,30,Massachusetts Institute of Technology,US,42.361947,-71.090936,https://geocarpentry.github.io/2014-01-30-mit/
2014-01-31-ucsb,SWC,2014-01-31,36,University of California Santa Barbara,US,34.412114,-119.842014,https://swcarpentry.github.io/2014-01-31-ucsb/
2014-02-03-TGAC,SWC,2014-02-03,24,The Genome Analysis Centre,GB,52.6217629,-1.240993,https://apawlik.github.io/2014-02-03-TGAC/
2014-02-10-hobart,SWC,2014-02-10,37,AMOS Conference (Melbourne),AU,-42.8806,147.325,https://damienirving.github.io/2014-02-10-hobart/
2014-02-11-toronto,SWC,2014-02-11,23,Mozilla Foundation,CA,43.64711,-79.39423,https://swcarpentry.github.io/2014-02-11-toronto/
2014-02-13-UNSW,SWC,2014-02-13,38,University of New South Wales,AU,-33.91741,151.231307,https://nicercode.github.io/2014-02-13-UNSW/
2014-02-15-umkc,SWC,2014-02-15,27,University of Missouri-Kansas City,US,39.091816,-94.550378,https://swcarpentry.github.io/2014-02-15-umkc/
2014-02-18-UCL,SWC,2014-02-18,27,University College London,GB,51.5243625,-0.134475,https://apawlik.github.io/2014-02-18-UCL/
2014-02-18-UTS,SWC,2014-02-18,29,University of Technology Sydney,AU,-33.883898,151.201013,https://nicercode.github.io/2014-02-18-UTS/
2014-02-18-aims,SWC,2014-02-18,24,African Institute of Mathematical Sciences,GH,5.161988,-1.165945,https://swcarpentry.github.io/2014-02-18-aims/
2014-02-22-SFU,SWC,2014-02-22,47,Simon Fraser University,CA,49.276765,-122.917957,https://bernhardkonrad.github.io/2014-02-22-SFU/
2014-02-24-esac,SWC,2014-02-24,42,European Space Astronomy Centre,ES,40.46871,-3.94383,https://justincely.github.io/2014-02-24-esac/
