slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2017-10-02-uw,SWC,2017-10-02,,University of Washington,US,47.653383,-122.311865
2017-10-03-LLNL,SWC,2017-10-03,18,Lawrence Livermore National Labs,US,37.690998,-121.713635
2017-10-03-NDIC,DC,2017-10-03,14,University of Colorado,US,40.573738,-105.084407
2017-10-03-riverclub,SWC,2017-10-03,37,The River Club,ZA,-33.93395,18.474866
2017-10-09-NWU-eResearch-ttt,TTT,2017-10-09,34,Software Carpentry,ZA,-26.687311,27.091835
2017-10-09-aarhus,SWC,2017-10-09,24,Aarhus University,DK,56.162907,10.182207
2017-10-10-norwich,SWC,2017-10-10,16,Earlham Institute,GB,52.621741,1.218987
2017-10-10-ttt-doe,"TTT,online",2017-10-10,24,Software Carpentry,W3,-48.876667,-123.393333
2017-10-12-london,SWC,2017-10-12,18,The Francis Crick Institute,GB,51.53183,-0.12825
2017-10-12-oxford-swc,SWC,2017-10-12,15,School of Anthropology and Museum Ethnography,GB,51.760053,-1.258617
2017-10-16-Glasgow,SWC,2017-10-16,20,University of Glasgow,GB,55.87389,-4.291815
2017-10-16-Monsanto-ttt,TTT,2017-10-16,7,Monsanto,US,38.663889,-90.558333
2017-10-16-UNO,SWC,2017-10-16,8,University of Nebraska - Omaha,US,41.24714,-96.016767
2017-10-16-YorkU,SWC,2017-10-18,,York University,CA,43.774742,-79.504922
2017-10-16-karolinska,SWC,2017-10-16,12,Karolinska Institutet,SE,59.346854,18.029033
2017-10-16-ucla,SWC,2017-10-16,10,University of California Los Angeles,US,34.0749691,-118.441466
2017-10-16-umswc,SWC,2017-10-16,18,University of Michigan,US,42.276334,-83.737981
2017-10-16-upenn-ibi,SWC,2017-10-16,26,University of Pennsylvania,US,39.94787,-75.196834
2017-10-17-bu,SWC,2017-10-17,17,Boston University,US,42.336262,-71.072344
2017-10-17-heidelberg,SWC,2017-10-17,25,European Molecular Biology Laboratory,DE,49.38406,8.710757
2017-10-18-SACNAS,DC,2017-10-18,,Society for the Advancement of Chicanos/Hispanics and Native Americans in Science (SACNAS),US,40.7608,-111.891
2017-10-19-UIC,SWC,2017-10-19,21,University of Illinois at Chicago,US,41.871764,-87.671293
2017-10-19-UniversityBotswana,SWC,2017-10-19,22,University of Botswana,BW,-24.660522,25.930781
2017-10-19-otago,SWC,2017-10-19,11,University of Otago,NZ,-45.8668,170.5182
2017-10-19-ucsf-ttt,"TTT,online",2017-10-19,5,Software Carpentry,W3,-48.876667,-123.393333
2017-10-23-ufs,SWC,2017-10-23,19,University of the Free State,ZA,-29.1091105,26.1832159
2017-10-24-ARC-16S,DC,2017-10-24,23,North-West University,ZA,-26.68556,27.094667
2017-10-24-ttt-online,"TTT,online",2017-10-24,19,Software Carpentry,W3,-48.876667,-123.393333
2017-10-24-ttt-online-USA,"TTT,online",2017-10-24,23,Software Carpentry,W3,-48.876667,-123.393333
2017-10-25-ift,SWC,2017-10-25,18,Institute for Theoretical Physics UAM-CSIC,ES,40.549532,-3.687608
2017-10-26-merced,DC,2017-10-26,24,University of California Merced,US,37.363734,-120.43111
2017-10-26-york-university,SWC,2017-10-26,20,York University,CA,43.773227,-79.498257
2017-10-27-Moorhead,SWC,2017-10-27,15,Minnesota State Colleges and Universities,US,46.86767,-96.762361
2017-10-27-RUCamden,SWC,2017-10-27,10,Rutgers University,US,39.949208,-75.122917
2017-10-27-ttt-UND,TTT,2017-10-27,5,Software Carpentry,US,44.974517,-93.2355794
2017-10-30-Ethiopia,DC,2017-10-30,25,Ethiopian Research and Education Network,ET,9.040216,38.762582
2017-10-30-TTT-online,"TTT,online",2017-10-30,12,Software Carpentry,W3,-48.876667,-123.393333
2017-10-30-harvard,SWC,2017-10-30,21,Harvard University,US,42.336362,-71.103045
2017-10-30-iDigBio-Summit-UFII,DC,2017-10-30,16,University of Florida,US,29.648248,-82.344031
2017-10-30-icahn,SWC,2017-10-30,26,Icahn School of Medicine at Mount Sinai,US,40.789791,-73.953169
2017-10-30-imperial-ttt,TTT,2017-10-30,21,Software Carpentry,GB,51.498846,-0.1767867
2017-10-31-UCL_software_carpentry,SWC,2017-10-31,30,University College London,GB,51.521923,
2017-10-31-qut,SWC,2017-10-31,34,Queensland University of Technology,AU,-27.477356,153.028423
2017-10-31-ulaval,SWC,2017-10-31,21,University of Laval,CA,,
2017-11-01-NWU-Mafikeng,DC,2017-11-01,24,North-West University,ZA,-25.825625,25.611265
2017-11-02-TTT-online,"TTT,online",2017-11-02,25,Software Carpentry,W3,-48.876667,-123.393333
2017-11-02-nist,SWC,2017-11-02,15,National Institute of Standards and Technology,US,39.143441,-77.20137
2017-11-03-gwu-R,SWC,2017-11-03,15,George Washington University,US,38.8992362,-77.0483541
2017-11-05-AAU,DC,2017-11-05,46,Addis Ababa University,ET,9.03403,38.7662
2017-11-06-SUN-DC,DC,2017-11-06,24,Stellenbosch University,ZA,-33.933198,18.864142
2017-11-06-lugano,DC,2017-11-06,21,University of Zurich,CH,46.002701,8.946719
2017-11-06-manchester,SWC,2017-11-06,15,University of Manchester,GB,53.4640904,-2.2296408
2017-11-06-ttt-Utrecht,TTT,2017-11-07,16,Uniersity of Utrecht,NL,52.089123,5.113584
2017-11-06-umontreal,SWC,2017-11-06,19,Universite de Montreal,CA,45.5048042,-73.6135563
2017-11-07-curtin,SWC,2017-11-07,,Curtin University,AU,-32.006963,115.894348
2017-11-07-mcgill,SWC,2017-11-07,17,McGill University,CA,45.504666,-73.573502
