Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
Unknown,US,Unknown,"helper, instructor, host, learner, organizer, contributor",A certification or short course,A few hours
faculty,US,"Medicine, Social sciences",Unknown,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,A few hours
support,GB,"Computer science/electrical engineering, Education",helper,A certification or short course,A few hours
support,SE,"High performance computing, Physics",Unknown,A certification or short course,A few hours
Unknown,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Physics",helper,A certification or short course,A few hours
postdoc,NL,"Genetics, genomics, bioinformatics",helper,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","host, organizer",A certification or short course,A few hours
faculty,ET,"Computer science/electrical engineering, Economics/business, High performance computing, Mathematics/statistics, Physics, Space sciences",Unknown,A certification or short course,A few hours
faculty,US,Social sciences,learner,A certification or short course,A few hours
grad,NP,Mathematics/statistics,"helper, learner, organizer, contributor",A certification or short course,A few hours
grad,GB,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","instructor, organizer",A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",Unknown,A certification or short course,A few hours
postdoc,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience",Unknown,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
Unknown,CA,"Economics/business, Education, Humanities",Unknown,A certification or short course,A few hours
grad,AU,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,DE,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",Unknown,A certification or short course,A few hours
faculty,AU,Computer science/electrical engineering,host,A certification or short course,A few hours
faculty,US,"Chemistry, Education","helper, host, organizer",A certification or short course,A few hours
support,CA,"Education, Humanities, Library and information science",learner,A certification or short course,A few hours
librarian,US,"Humanities, Library and information science",Unknown,A certification or short course,A few hours
librarian,US,"Education, Library and information science, Psychology/neuroscience, Social sciences",learner,A certification or short course,A few hours
librarian,US,Library and information science,learner,A certification or short course,A few hours
grad,FR,Computer science/electrical engineering,learner,A certification or short course,A few hours
librarian,US,"Humanities, Library and information science",Unknown,A certification or short course,A few hours
postdoc,US,"Humanities, Library and information science, Social sciences",Unknown,A certification or short course,A few hours
grad,US,Library and information science,learner,A certification or short course,A few hours
librarian,US,Library and information science,Unknown,A certification or short course,A few hours
librarian,AU,"Civil, mechanical, chemical, or nuclear engineering, Library and information science",learner,A certification or short course,A few hours
research,AU,"Computer science/electrical engineering, Psychology/neuroscience","helper, instructor",A certification or short course,A few hours
librarian,US,Library and information science,Unknown,A certification or short course,A few hours
librarian,US,"Economics/business, Education, Library and information science","instructor, contributor",A certification or short course,A few hours
Unknown,KE,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
postdoc,GB,Psychology/neuroscience,"helper, learner",A certification or short course,A few hours
Unknown,US,"Education, High performance computing, Physics, Space sciences",learner,A certification or short course,A few hours
librarian,US,Library and information science,Unknown,A certification or short course,A few hours
Unknown,CA,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A certification or short course,A few hours
faculty,US,"Economics/business, Social sciences",Unknown,A certification or short course,A few hours
faculty,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
research,GB,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
librarian,US,"Library and information science, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
Unknown,AU,Computer science/electrical engineering,"helper, instructor, host, organizer, contributor",A certification or short course,A few hours
postdoc,CA,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
librarian,US,"Humanities, Library and information science",Unknown,A certification or short course,A few hours
librarian,US,Unknown,Unknown,A certification or short course,A few hours
Unknown,BD,Unknown,Unknown,A certification or short course,A few hours
support,US,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
librarian,US,"Humanities, Library and information science",organizer,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",organizer,A certification or short course,A few hours
